NoticeDate,Reason,Company,Address,Industry,TotalEmployeesAffected,Latitude,Longitude
5/4/20,Temporary Plant Closing,"Hartz Hotel Services, Inc. (manager of The Roxy Hotel-Tribeca)","2 Avenue of the Americas New York, NY 10013",Hotel,79,40.7194085,-74.0049093
5/5/20,Plant Closing,RR Donnelley (TuckerPrinters facility),"270 Middle Rd. Henrietta, NY 14467",Commercial Printing,33,43.060869,-77.6366618
4/28/20,Plant Layoff,TripAdvisor LLC,"17 Battery Place New York, NY 10004",American online travel company,36,40.7051601,-74.0159882
4/15/20,Temporary Plant Layoff,"PBM, LLC (Perfect Building Maintenance)","405 Lexington Avenue, 40th Floor New York, NY 10174",Building maintenance and cleaning services,349,40.7518684,-73.9755536
5/4/20,Temporary Plant Layoff,"NRG Energy, Inc. (Green Mountain Energy NYC Office-Sales Agents)","16 Madison Square Park West, 12th Floor New York, NY 10010",Renewable Energy Provider,71,40.7412965,-73.9877572
5/4/20,Temporary Plant Closing,"CPS5, LLC (CPS Events at the Plaza)","770 5th Avenue New York, NY 10019",Event Planners/Caterers,125,40.7640917,-73.9735807
4/30/20,Temporary Plant Closing,"JAD Transportation, Inc. Twin America, LLC, R. W. Express, & Sightseeing Pass","1430 Broadway, Suite 507 New York, NY 10018",Transporation Services,550,40.7539398,-73.9865382
5/4/20,Temporary Plant Closing,"Hartz Hotel Services, Inc. (manager of the Soho Grand Hotel)","310 W. Broadway New York, NY 10013",Hotel,109,40.7221457,-74.0046268
4/17/20,Temporary Plant Layoff,"Eat'n Park Hospitality Group, Inc. (Parkhurst Dining Services)",(Multiple Region sites),Restaurant,180,42.084972,-76.798553
5/1/20,Plant Layoff,"Collins Building Services, Inc.",Multiple New York City and Long Island sites,Quality cleaning and maintenance services,435,40.7127753,-74.0059728
4/14/20,Plant Layoff,Hertz,"John F Kennedy International Airport 312 Federal Building Cir New York, NY 11430",Car Rentals,78,40.6413111,-73.7781391
4/30/20,Temporary Plant Layoff,"All County Bus, LLC","70 Fernbrook St. Yonkers, NY 10705",Transportation,407,40.9235184,-73.9071854
4/27/20,Temporary Plant Layoff,"OS Restaurant Services, LLC (Bloomin Brands- Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Central Region locations,Restaurant,174,43.2582918,-79.8723781
4/27/20,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Capital Region locations,Restaurant,260,42.6864256,-73.8417672
4/27/20,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Finger Lakes Region locations,Restaurant,239,42.7238165,-76.9297247
4/27/20,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Western Region locations,Restaurant,289,37.09024,-95.712891
4/27/20,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Southern Region locations,Restaurant,154,37.09024,-95.712891
4/27/20,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple New York City locations,Restaurant,447,40.7529072,-73.9722062
4/27/20,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Mid-Hudson locations,Restaurant,393,41.6844352,-73.862163
4/27/20,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Long Island Region locations,Restaurant,696,40.7341853,-73.3444147
5/1/20,Temporary Plant Layoff,"LH Employment Services, LLC",(4 NYC sites),Restaurant,274,40.7060855,-73.9968643
