notice_date,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
5/4/2020,Temporary Plant Closing,"Hartz Hotel Services, Inc. (manager of The Roxy Hotel-Tribeca)","2 Avenue of the Americas New York, NY 10013",New York County,(201) 272-5800,Hotel,79,79,5/15/2020,COVID-19,The employees are not represented by a union.,Temporary Plant Closing
5/5/2020,Plant Closing,RR Donnelley (TuckerPrinters facility),"270 Middle Rd. Henrietta, NY 14467",Monroe County,(716) 564-6469,Commercial Printing,33,33,5/5/2020,COVID-19,The employees are not represented by a union.,Plant Closing
4/28/2020,Plant Layoff,TripAdvisor LLC,"17 Battery Place New York, NY 10004",New York County,(781) 800-5341,American online travel company,36,36,5/5/2020,COVID-19,The employees are not represented by a union.,Plant Layoff
4/15/2020,Temporary Plant Layoff,"PBM, LLC (Perfect Building Maintenance)","405 Lexington Avenue, 40th Floor New York, NY 10174",New York County,(212) 244-3434,Building maintenance and cleaning services,349,0,3/9/2020,COVID-19,Local 32BJ SEIU,Temporary Plant Layoff
5/4/2020,Temporary Plant Layoff,"NRG Energy, Inc. (Green Mountain Energy NYC Office-Sales Agents)","16 Madison Square Park West, 12th Floor New York, NY 10010",New York County,(713) 537-2187,Renewable Energy Provider,71,0,Beginning,COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
5/4/2020,Temporary Plant Closing,"CPS5, LLC (CPS Events at the Plaza)","770 5th Avenue New York, NY 10019",New York County,(646) 265-6952,Event Planners/Caterers,125,125,3/16/2020,COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO, affiliated with UNITE HERE",Temporary Plant Closing
4/30/2020,Temporary Plant Closing,"JAD Transportation, Inc. Twin America, LLC, R. W. Express, & Sightseeing Pass","1430 Broadway, Suite 507 New York, NY 10018",New York County,(212) 235-5850,Transporation Services,550,550,3/18/2020,COVID-19,"United Service Workers Union, Local 1212, the Stationary Engineers, Firemen, Maintenance and Building Service Employees Union, RWDSU/UFCW, Local 670, and Local Union No. 966, affiliated with the International Brotherhood of Teamsters",Temporary Plant Closing
5/4/2020,Temporary Plant Closing,"Hartz Hotel Services, Inc. (manager of the Soho Grand Hotel)","310 W. Broadway New York, NY 10013",New York County,(201) 272-5800,Hotel,109,109,5/15/2020,COVID-19,The employees are not represented by a union.,Temporary Plant Closing
4/17/2020,Temporary Plant Layoff,"Eat'n Park Hospitality Group, Inc. (Parkhurst Dining Services)",(Multiple Region sites),Chemung County,(412) 461-2000 Ext,Restaurant,180,180,Separations,COVID-19,"CSEA, Local 1000",Temporary Plant Layoff
5/1/2020,Plant Layoff,"Collins Building Services, Inc.",Multiple New York City and Long Island sites,New York/Kings County,(212) 896-5100,Quality cleaning and maintenance services,435,495,Employee,COVID-19,Realty Advisory Board and SEIU Local 32BJ,Plant Layoff
4/14/2020,Plant Layoff,Hertz,"John F Kennedy International Airport 312 Federal Building Cir New York, NY 11430",New York/Queens County,(239) 301-7018,Car Rentals,78,78,Separations,COVID-19,"IBT, Local 272 and IAM, District 15",Plant Layoff
4/30/2020,Temporary Plant Layoff,"All County Bus, LLC","70 Fernbrook St. Yonkers, NY 10705",Westchester County,(914) 963-9600 Ext,Transportation,407,407,3/16/2020,COVID-19,"Local 811 Warehouse, Production, Sales and Allied Services Union",Temporary Plant Layoff
4/27/2020,Temporary Plant Layoff,"OS Restaurant Services, LLC (Bloomin Brands- Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Central Region locations,Onondaga County,(813) 282-1225,Restaurant,174,174,3/15/2020,COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
4/27/2020,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Capital Region locations,Albany/Saratoga/Warren County,(813) 282-1225,Restaurant,260,260,3/15/2020,COVID-19,The employees are not represented by a union.,Temporary Plant Closing
4/27/2020,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Finger Lakes Region locations,Monroe/Ontario County,(813) 282-1225,Restaurant,239,239,3/15/2020,COVID-19,The employees are not represented by a union.,Temporary Plant Closing
